"Quantidade de condutores habilitados por região, uf, sexo, faixa etária por categoria - XLS";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Filtro do relatório:;;;;;;;;;;;;;;;;;;
"(Categoria = A-Condutor Moto, AB-Condutor Moto/Carro, AC-Condutor Moto/Caminhão, AD-Condutor Moto/Ônibus, AE-Condutor Moto/Carreta, B-Condutor Carro, C-Condutor Caminhão, D-Condutor Ônibus, E-Condutor Carreta, X-Condutor Ciclomotor, XB-Condutor Ciclomotor/Carro, XC-Condutor Ciclomotor/Caminhão, XD-Condutor Ciclomotor/Ônibus, XE-Condutor Ciclomotor/Carreta) E ({Região Habilitação Atual} = Centro-Oeste, Nordeste, Norte, Sudeste, Sul) E (Sexo = Masculino, Feminino) E ({UF Habilitação Atual} = Acre, Alagoas, Amazonas, Amapá, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Minas Gerais, Mato Grosso do Sul, Mato Grosso, Pará, Paraíba, Pernambuco, Piauí, Paraná, Rio de Janeiro, Rio Grande do Norte, Rondônia, Roraima, Rio Grande do Sul, Santa Catarina, Sergipe, São Paulo, Tocantins) E ({Faixa Etária} = 00 a 17, 18 a 21, 22 a 25, 26 a 30, 31 a 40, 41 a 50, 51 a 60, 61 a 70, 71 a 80, 81 a 90, 91 a 100, 101 a 120, Mais de 120) E ({Data  Referência Extração} = Fev/2024)";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Região Habilitação Atual;UF Habilitação Atual;Sexo;Categoria;A-Condutor Moto;AB-Condutor Moto/Carro;AC-Condutor Moto/Caminhão;AD-Condutor Moto/Ônibus;AE-Condutor Moto/Carreta;B-Condutor Carro;C-Condutor Caminhão;D-Condutor Ônibus;E-Condutor Carreta;X-Condutor Ciclomotor;XB-Condutor Ciclomotor/Carro;XC-Condutor Ciclomotor/Caminhão;XD-Condutor Ciclomotor/Ônibus;XE-Condutor Ciclomotor/Carreta;Total
;;;Faixa Etária;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico;Qt. Condutor Histórico
Centro-Oeste;Distrito Federal;Masculino;18 a 21;129 ;10.404 ;8 ;29 ;2 ;16.691 ;5 ;13 ;1 ;;;;;;27.282 
;;;22 a 25;449 ;23.638 ;21 ;1.011 ;100 ;30.770 ;14 ;382 ;28 ;;;;;;56.413 
;;;26 a 30;865 ;39.470 ;33 ;3.780 ;503 ;50.709 ;19 ;1.343 ;122 ;;;;;;96.844 
;;;31 a 40;2.202 ;91.698 ;139 ;18.912 ;3.655 ;107.858 ;63 ;7.443 ;844 ;;2 ;;;;232.816 
;;;41 a 50;1.810 ;69.138 ;795 ;27.143 ;6.126 ;117.572 ;713 ;19.255 ;2.988 ;;1 ;2 ;;;245.543 
;;;51 a 60;798 ;35.213 ;2.056 ;17.477 ;3.246 ;87.224 ;1.877 ;20.289 ;2.680 ;;4 ;;;;170.864 
;;;61 a 70;277 ;16.953 ;1.131 ;6.993 ;1.179 ;60.524 ;1.993 ;14.675 ;1.881 ;;1 ;1 ;;;105.608 
;;;71 a 80;54 ;5.120 ;161 ;1.387 ;170 ;42.089 ;1.070 ;7.128 ;643 ;;2 ;;;;57.824 
;;;81 a 90;17 ;1.345 ;42 ;340 ;11 ;21.657 ;518 ;3.545 ;155 ;;;;;;27.630 
;;;91 a 100;3 ;282 ;9 ;47 ;1 ;7.940 ;106 ;839 ;16 ;;;;;;9.243 
;;;101 a 120;;34 ;;3 ;;1.406 ;4 ;54 ;;;;;;;1.501 
