customerID,Genero,Idoso,Casado,Dependents,Tempo_como_Cliente,PhoneService,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,StreamingTV,Tipo_Contrato,PaymentMethod,Pagamento_Mensal,Total_Pago,Churn
7590-vhveg,female,0,1,0,1,0.0,dsl,0,0,0,month-to-month,electronic check,29.85,29.85,0
5575-gnvde,male,0,0,0,34,1.0,dsl,1,0,0,one year,mailed check,56.95,1889.5,0
3668-qpybk,male,0,0,0,2,1.0,dsl,1,0,0,month-to-month,mailed check,53.85,108.15,1
7795-cfocw,male,0,0,0,45,0.0,dsl,1,1,0,one year,bank transfer (automatic),71.45,1840.75,0
8191-xwszg,female,0,0,0,52,1.0,0,no internet service,no internet service,no internet service,one year,mailed check,71.45,1022.95,0
9959-wofkt,male,0,0,1,71,1.0,fiber optic,1,0,1,two year,bank transfer (automatic),71.45,7382.25,0
4190-mfluw,female,0,1,1,10,1.0,dsl,0,1,0,month-to-month,credit card (automatic),71.45,528.35,1
4183-myfrb,female,0,0,0,21,1.0,fiber optic,0,0,0,month-to-month,electronic check,71.45,1862.9,0
8779-qrdmv,male,1,0,0,1,0.0,dsl,0,0,0,month-to-month,electronic check,71.45,39.65,1
1680-vdcww,male,0,1,0,12,1.0,0,no internet service,no internet service,no internet service,one year,bank transfer (automatic),71.45,202.25,0
1066-jksgk,male,0,0,0,1,1.0,0,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,20.15,1
3638-weabw,female,0,1,0,58,1.0,dsl,0,1,0,two year,credit card (automatic),71.45,3505.1,0
6322-hrpfa,male,0,1,1,49,1.0,dsl,1,1,0,month-to-month,credit card (automatic),71.45,2970.3,0
6865-jznko,female,0,0,0,30,1.0,dsl,1,0,0,month-to-month,bank transfer (automatic),71.45,1530.6,0
6467-chfzw,male,0,1,1,47,1.0,fiber optic,0,0,1,month-to-month,electronic check,71.45,4749.15,1
8665-utdhz,male,0,1,1,1,0.0,dsl,0,0,0,month-to-month,electronic check,71.45,30.2,1
5248-ygijn,male,0,1,0,72,1.0,dsl,1,1,1,two year,credit card (automatic),71.45,6369.45,0
