Mês,TAXA CONDOMINIAL,TAXA COND ATRASADA,MULTA,JUROS,TAXA COND ANTECIPADA,SALAO DE FESTAS/TOALHAS,RENDIMENTOS C/CORRENTE,RENDIMENTOS C/ITAUVEST,RENDIMENTOS C/POUPANÇA,ACORDO,REEMBOLSO/DEVOLUÇÃO,FJERCADO CONDOPIINIO,VENDA DE REVESTIMENTO,REEMBOLSO PREJUÍZO ELEVADOR,Total:,
jan/24,55611.0,970.0,77.6,20.8,8500.0,630.0,52.45,56.0,73.36,6000.0,219.99,157.08,0.0,0.0,72367.28,
fev/24,59980.0,3880.0,135.8,74.65,3400.0,720.0,38.57,46.8,74.96,6000.0,,121.7,,,74472.48,
mar/24,63260.0,1940.0,77.6,36.81,,910.0,44.84,48.9,67.17,70110.13,,131.15,2520.0,,139146.6,
abr/24,66660.0,1940.0,97.0,54.43,4250.0,1549.0,52.29,52.36,71.56,24043.34,14.5,135.06,1080.0,,99999.54,
mai/24,63260.0,3880.0,135.8,64.97,8500.0,777.0,68.6,49.48,76.91,6000.0,29.0,141.43,2414.0,,85397.19,
jun/24,57070.0,1940.0,58.2,18.24,7650.0,810.0,84.19,47.09,77.27,5500.0,29.0,141.45,2890.0,,76315.44,
jul/24,58160.0,4850.0,135.8,96.02,8500.0,520.0,251.42,259.4,72.6,7500.0,929.28,161.81,,,81436.33,
ago/24,57070.0,3880.0,77.6,65.6,4250.0,410.0,132.96,61.36,76.19,5000.0,205.21,151.67,,,71380.59,
set/24,63020.0,3880.0,97.0,61.77,3400.0,1020.0,36.77,59.42,76.32,5000.0,45.22,150.19,731.0,3033.42,80611.11,
out/24,64110.0,4850.0,155.2,78.74,8500.0,710.0,38.82,66.52,76.26,5000.0,0.13,144.75,5270.0,1516.71,90517.13,
nov/24,58040.0,1940.0,58.2,18.56,1700.0,800.0,43.99,57.16,80.05,5000.0,,143.95,1360.0,1516.71,70758.62,
dez/24,65690.0,970.0,58.2,16.32,8500.0,1000.0,49.53,67.44,76.67,,,158.13,645.0,1516.71,78748.0,
