Mês,SALARIOS,13   SALARIO (PIS),FERIAS E SUBSTITUIÇÃO,FGTS,INSS/GPS,VALEAMMENTAÇÃO,PIS,SEGURODOSFUNCIONARIOS,VALETRANSPORTE,VALE COMBUSTIVEL,RESCISÃO,SINTRACON - PARC 02/02,CERTIFICADO ANUAL,UNIFORMES,EXAME DEMISSIONAL,COSAMPA,COSANPA-AGUAPISCINA,LUZ,MENS ELEVADORES,PARCELAS PREJUÍZO ELEVADOR,MANUTENÇÃO(CFTV/ELETRICA,CONSERTOS E REFORMAS,MAT. LIMPEZA,TRIBUTOS,CONTABIL,JURÍDICO/HONORARIOS,TARIFACOBRANÇA(BOLETOS),ENCARGOSBANCARIOS,IMPOSTOC/POUPANÇA,SEGURO DOPREDIO,DDIVERSAS(LAV TOALHAS/C/,RECARGA DE GÁS,TELEFONE,SEGURANÇACONDOMINIAL,SERV SANEAMENTO,BENFEITORIAS,SERV POLIME,REFORMA DO TELHADO,PEQUENOS BENS,RECARGA DE EXTINTORES,BOMBEIRO,Total
jan/24,-12373.2,0.0,-3043.81,-1973.59,-4324.66,-4200.0,-136.31,-72.03,0.0,-344.9,0.0,0.0,0.0,0.0,0.0,-11884.46,-716.81,-6344.13,-4046.51,0.0,-600.0,-775.0,-291.97,-1742.5,-1332.4,0.0,-215.8,-76.57,-16.49,0.0,-100.0,-4434.25,-219.26,-3000.0,-280.0,0.0,0.0,0.0,0.0,0.0,-7373.38,-69918.03
fev/24,-10792.83,,-1073.06,-1161.07,-4737.19,-4200.0,-145.13,-72.03,-2560.0,-328.9,,,,,,-11432.94,-560.48,-6839.11,-4046.51,,-1600.0,-950.51,-354.61,-432.2,-1425.27,-504.0,-219.95,-29.0,-16.85,-1053.36,,-4156.5,-219.26,-3000.0,,,,,,,,-61910.76
mar/24,-12142.67,,,-1067.82,-4369.75,-4200.0,-134.79,-72.03,-1184.0,-355.0,,,,,,-12276.11,-1131.68,-6437.37,-4046.51,,-1796.0,-2975.86,-479.17,,-1425.27,-504.0,-237.8,-29.0,-15.1,,-100.0,-4155.0,-219.26,-3000.0,,,,,,,,-62354.19
abr/24,-12189.25,,-2040.65,-1102.66,-4358.89,-4180.0,-137.83,-72.03,-1112.0,-344.9,,,,,,-9333.43,,-6405.47,-4046.51,,-1600.0,-2325.14,-378.95,-432.2,-1425.27,-9067.02,-269.7,-25.8,-16.08,-1053.35,-504.41,-4238.1,-220.16,-3000.0,-900.0,-4900.0,,,,,,-75679.8
mai/24,-11391.98,,-5814.81,-1165.34,-4424.38,-4908.99,-138.06,-72.03,-1384.0,-328.9,,,,-346.0,,-8106.12,-830.48,-6678.49,-4046.51,,-1910.0,-3210.84,-386.53,,-1425.27,,-272.6,-59.72,-17.29,-1053.35,-676.02,-4819.8,-219.26,-3000.0,-3030.0,-11000.0,,,-1142.65,-1302.0,,-83161.42
jun/24,-11460.25,,-1281.34,-1264.06,-5186.2,-4485.0,-159.57,-72.03,,,,,,-136.0,,-12267.76,-63.08,-7167.62,-4046.51,,-1900.0,-6274.47,-1603.03,,-1425.27,,-243.6,-54.65,-17.36,-1053.35,-110.0,-4321.2,-219.26,-3400.0,,,,,-630.96,,,-68842.57
jul/24,-11661.06,,-4344.19,-1088.37,-4298.78,-4550.0,-136.49,-72.03,-2696.0,-328.9,,-175.0,,,,-10808.83,-502.63,-6937.75,-4099.6,,-1600.0,-4363.93,-563.7,-3946.94,-1425.27,-1512.0,-246.5,-29.0,-22.12,,-862.41,-4238.1,-220.18,-3400.0,,,-1155.0,,-631.06,,,-75915.84
ago/24,-12517.95,,-2132.02,-1237.78,-5084.43,-4550.0,-154.72,-72.03,-1036.5,-344.9,,,,,,-14772.22,-693.76,-6230.95,-4046.51,-1516.71,-1600.0,-957.04,,-432.2,-1425.27,,-240.7,,-17.12,,-279.51,-4246.41,-220.16,-3400.0,,,-1155.0,-33504.68,-481.38,,,-102349.95
set/24,-11854.83,,,-1092.74,-4323.68,-4333.33,-136.59,-82.8,,-344.9,,,,,,-9975.12,-827.04,-7002.86,-4046.51,-1516.71,-1640.0,-1710.27,-368.87,,-1535.27,-1008.0,-258.1,,-17.14,,-222.36,-4059.0,-219.26,-3400.0,,,-1155.0,,-187.41,,,-61317.79
out/24,-12154.64,,-2232.14,-1115.23,-4413.11,-4463.34,-139.4,-82.8,-1864.0,-371.0,,,,,,-9975.12,-348.0,-7015.24,-4046.51,-1516.71,-1600.0,-3017.93,-480.87,-432.2,-1425.27,,-266.8,,-17.14,,-526.17,-5640.0,-221.92,-3400.0,,,,-33504.68,-187.41,,,-100457.63
nov/24,-13057.23,,-5118.16,-1143.37,-4658.51,-4528.33,-142.92,-82.8,-856.0,-312.9,-8373.85,,-235.0,,-30.0,-11007.18,-105.08,-7669.95,-4046.51,-1516.71,-2410.0,-5340.68,-408.53,-432.2,-1535.27,-1008.0,-229.1,,-17.99,,-16.0,-4897.77,-47.54,-3400.0,-300.0,,,,-1187.31,,-2848.61,-86963.5
dez/24,-8857.91,-16710.63,-4103.27,-1124.17,-5200.89,-4550.0,-160.75,-82.8,-1492.5,-339.0,,-150.0,,,,,-421.3,-7464.61,-4428.1,-1516.71,-1600.0,-4696.31,-681.49,-472.95,-1425.27,,-275.5,-42.91,-17.24,,-746.29,-5452.0,-219.41,-3400.0,-1840.72,,,-12000.0,-1187.31,,-792.58,-91452.62
