Mês,CAIXA (EII ESPÉCIE),BCO ITAÚ SA,ITAUVEST  - APMC/RESGATE,POUPANÇA/FRESERVA,BCO COOPSICREDI SA
jan/24,2.94,61209.62,8344.51,12954.07,1000.0
fev/24,2.94,73666.43,8391.31,13012.18,1000.0
mar/24,,150360.81,8440.21,13064.25,1000.0
abr/24,,174572.71,8492.57,13119.73,1000.0
mai/24,,176699.38,8542.05,13179.35,1000.0
jun/24,,184065.25,8589.14,13239.26,1000.0
jul/24,,189270.06,8848.54,13295.54,1000.0
ago/24,,158180.27,8909.9,13354.61,1000.0
set/24,,177354.99,8969.32,13413.79,1000.0
out/24,,167288.85,9035.84,13472.91,1000.0
nov/24,0.0,150964.75,9093.0,13534.97,1000.0
dez/24,,138133.26,9160.44,13594.4,1000.0
